Date,AVGO,HD,JPM,LLY,MSFT,UNH,V,WMT,XOM
2010,0.520138002,0.307608649,0.121412008,0.067740749,0.055041417,0.113234796,-0.111422235,0.035060004,0.169336497
2011,0.07104031,0.225315393,-0.173035187,0.233774627,-0.035635642,0.372664068,0.385146778,0.140321011,0.188413251
2012,0.150616503,0.427098547,0.372705341,0.224251608,0.079005658,0.099758135,0.431188592,0.173590698,0.057332223
2013,0.591004588,0.313169982,0.337052612,0.083032747,0.389684382,0.361923485,0.408298112,0.176389805,0.193253424
2014,0.698587772,0.284507745,0.103956168,0.344785575,0.249793243,0.329897126,0.187850823,0.126614397,-0.051423307
2015,0.452953896,0.266043017,0.106127315,0.236574109,0.259822823,0.179721709,0.194035159,-0.294892726,-0.124682435
2016,0.232243698,0.051904754,0.32692345,-0.083644233,0.162020499,0.344023721,0.022947175,0.157881018,0.191232655
2017,0.418176612,0.383136372,0.251730063,0.172990043,0.3525887,0.347911029,0.395696738,0.403677338,-0.030629846
2018,0.057135588,-0.052201053,-0.049546218,0.36252849,0.207861041,0.158645478,0.16878756,-0.007541713,-0.13625722
2019,0.305347038,0.277144083,0.413529029,0.166950142,0.472803796,0.214346942,0.373623252,0.273611607,0.094208451
2020,0.426184542,0.264190214,0.009747141,0.321646838,0.383776042,0.220359312,0.2043548,0.229794802,-0.335212281
2021,0.477111003,0.499489087,0.264993218,0.570445852,0.448136745,0.410583306,0.030731554,0.031147298,0.501491659
2022,-0.081539003,-0.206724696,-0.076559109,0.329150161,-0.298391063,0.080744563,-0.003780318,0.030605307,0.710977999